CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Combined_Score,RFM_Score_Label,Customer_Segment,Cluster,churn_prediction,churn_probability
12467,59,1,132.8,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0471
12468,162,3,1348.56,2,3,5,10,2-3-5,Fading Customers,1,1,0.7964
12469,158,1,1005.4,2,1,4,7,2-1-4,Dormant Spenders,1,1,0.9433
12470,325,1,183.25,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9573
12471,10,42,9266.5,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0024
12472,5,13,7878.76,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0024
12474,14,11,3675.19,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0021
12475,45,1,359.36,3,1,3,7,3-1-3,Occasional Browsers,1,1,0.7104
12476,33,6,3911.39,4,5,5,14,4-5-5,High-Value Regulars,0,0,0.0069
12477,35,3,3394.24,4,3,5,12,4-3-5,Loyal Mid-Tier,0,0,0.0215
12480,35,3,1203.57,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0069
12481,1,5,1982.54,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0057
12482,289,4,120.0,1,4,1,6,1-4-1,Occasional Browsers,1,1,0.781
12483,14,8,742.4,5,5,4,14,5-5-4,High-Value Regulars,0,0,0.0029
12484,119,5,1210.56,2,4,4,10,2-4-4,Dormant Spenders,0,1,0.9069
12485,165,1,483.0,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.7933
12486,67,1,765.0,3,1,4,8,3-1-4,Big Spender Infrequent,1,0,0.1758
12490,14,10,3082.43,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0019
12492,39,1,316.15,3,1,3,7,3-1-3,Occasional Browsers,1,1,0.7681
12494,1,3,450.1,5,3,3,11,5-3-3,Loyal Mid-Tier,0,0,0.0046
12495,276,1,243.4,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9582
12496,256,2,45.34,1,2,1,4,1-2-1,Disengaged Low-Value,1,1,0.98
12499,196,1,297.16,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9547
12500,71,7,687.74,3,5,4,12,3-5-4,Loyal Mid-Tier,0,0,0.008
12504,53,2,129.0,3,2,1,6,3-2-1,Fading Customers,1,0,0.2357
12505,44,1,583.8,3,1,4,8,3-1-4,Big Spender Infrequent,1,0,0.1716
12507,220,1,362.25,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.8193
12510,95,5,1382.8,2,4,5,11,2-4-5,Dormant Spenders,0,0,0.4339
12511,64,1,2457.11,3,1,5,9,3-1-5,Big Spender Infrequent,1,0,0.1151
12514,277,1,478.2,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.6305
12516,66,2,450.9,3,2,3,8,3-2-3,Fading Customers,1,0,0.3441
12519,112,1,319.88,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.8449
12523,10,12,1851.04,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0021
12524,45,3,614.05,3,3,4,10,3-3-4,Loyal Mid-Tier,1,0,0.0889
12525,134,3,798.18,2,3,4,9,2-3-4,Fading Customers,1,1,0.866
12527,165,1,164.8,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9541
12529,164,1,280.68,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9592
12530,51,5,1059.97,3,4,4,11,3-4-4,Loyal Mid-Tier,0,0,0.0066
12531,322,1,1515.53,1,1,5,7,1-1-5,Dormant Spenders,1,1,0.9275
12533,263,2,1016.74,1,2,4,7,1-2-4,Dormant Spenders,1,1,0.9665
12537,44,1,602.99,3,1,4,8,3-1-4,Big Spender Infrequent,1,0,0.086
12538,14,1,150.3,5,1,1,7,5-1-1,Promising Newcomers,1,0,0.0089
12539,86,3,3532.0,2,3,5,10,2-3-5,Fading Customers,0,0,0.2543
12540,14,14,4023.73,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0019
12542,120,2,359.61,2,2,3,7,2-2-3,Fading Customers,1,0,0.4329
12543,84,1,656.8,2,1,4,7,2-1-4,Dormant Spenders,1,1,0.7126
12547,136,1,147.78,2,1,1,4,2-1-1,Disengaged Low-Value,1,1,0.9685
12549,211,5,894.32,1,4,4,9,1-4-4,Dormant Spenders,1,1,0.9685
12553,21,2,585.37,4,2,4,10,4-2-4,Promising Newcomers,1,0,0.0313
12554,84,1,347.6,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.7269
12562,21,2,600.9,4,2,4,10,4-2-4,Promising Newcomers,1,0,0.0332
12563,44,1,131.24,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0413
12567,3,7,2706.69,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0019
12568,280,1,30.7,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9705
12573,17,4,472.96,4,4,3,11,4-4-3,Loyal Mid-Tier,0,0,0.0069
12575,93,2,508.47,2,2,3,7,2-2-3,Fading Customers,1,1,0.7847
12576,28,3,721.82,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.006
12577,17,5,884.76,4,4,4,12,4-4-4,High-Value Regulars,0,0,0.0018
12578,21,2,861.34,4,2,4,10,4-2-4,Promising Newcomers,0,0,0.0054
12580,212,1,576.9,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.8135
12582,58,2,994.37,3,2,4,9,3-2-4,Fading Customers,1,0,0.4358
12583,9,12,2298.84,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0022
12586,10,3,1161.88,5,3,4,12,5-3-4,Loyal Mid-Tier,0,0,0.0019
12588,35,2,400.08,4,2,3,9,4-2-3,Promising Newcomers,1,0,0.013
12589,57,4,1969.33,3,4,5,12,3-4-5,Loyal Mid-Tier,0,0,0.0046
12591,26,2,503.6,4,2,3,9,4-2-3,Promising Newcomers,1,0,0.0276
12592,155,2,510.84,2,2,3,7,2-2-3,Fading Customers,1,1,0.5339
12594,14,5,1299.09,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0043
12595,140,1,197.4,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9594
12598,99,3,1024.26,2,3,4,9,2-3-4,Fading Customers,1,1,0.772
12599,17,6,819.18,4,5,4,13,4-5-4,High-Value Regulars,0,0,0.0065
12600,28,10,478.58,4,5,3,12,4-5-3,Loyal Mid-Tier,0,0,0.0036
12601,40,1,60.3,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0579
12605,12,3,1077.4,5,3,4,12,5-3-4,Loyal Mid-Tier,0,0,0.007
12608,40,1,95.05,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0413
12609,10,6,1610.76,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0018
12613,24,5,2374.14,4,4,5,13,4-4-5,High-Value Regulars,0,0,0.0021
12615,49,4,2458.02,3,4,5,12,3-4-5,Loyal Mid-Tier,0,0,0.0061
12616,24,1,326.1,4,1,3,8,4-1-3,Promising Newcomers,1,0,0.0161
12619,196,1,127.39,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9665
12621,1,16,3619.88,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0021
12623,52,6,2247.72,3,5,5,13,3-5-5,Loyal Mid-Tier,0,0,0.0019
12625,145,2,1577.77,2,2,5,9,2-2-5,Fading Customers,1,1,0.8413
12629,21,2,492.92,4,2,3,9,4-2-3,Promising Newcomers,1,0,0.0236
12631,92,5,2337.07,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.7369
12632,156,2,321.76,2,2,3,7,2-2-3,Fading Customers,1,1,0.6912
12633,18,3,2779.93,4,3,5,12,4-3-5,Loyal Mid-Tier,0,0,0.0193
12634,184,1,360.0,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.6973
12635,28,2,1003.23,4,2,4,10,4-2-4,Promising Newcomers,0,0,0.0056
12637,14,4,1938.45,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0073
12638,275,1,93.3,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9498
12639,70,2,599.17,3,2,4,9,3-2-4,Fading Customers,1,0,0.4321
12644,66,3,1064.03,3,3,4,10,3-3-4,Loyal Mid-Tier,0,0,0.004
12645,45,4,1207.77,3,4,4,11,3-4-4,Loyal Mid-Tier,0,0,0.0044
12647,3,21,5239.9,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.002
12648,73,3,579.85,2,3,3,8,2-3-3,Fading Customers,1,0,0.3603
12649,18,4,965.54,4,4,4,12,4-4-4,High-Value Regulars,0,0,0.0018
12651,14,3,263.75,5,3,2,10,5-3-2,Occasional Browsers,0,0,0.1425
12652,70,1,14.85,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0782
12653,162,1,490.32,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.7501
12655,59,1,181.7,3,1,2,6,3-1-2,Occasional Browsers,1,0,0.0407
12656,61,3,1662.31,3,3,5,11,3-3-5,Loyal Mid-Tier,0,0,0.0083
12661,72,1,162.0,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9341
12662,9,10,2458.49,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0062
12663,260,2,106.2,1,2,1,4,1-2-1,Disengaged Low-Value,1,1,0.9759
12665,53,2,214.6,3,2,2,7,3-2-2,Fading Customers,1,0,0.3579
12666,30,1,441.68,4,1,3,8,4-1-3,Promising Newcomers,1,0,0.0167
12668,14,5,5408.12,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0048
12670,21,2,347.04,4,2,3,9,4-2-3,Promising Newcomers,1,0,0.0057
12671,242,1,243.0,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9579
12672,231,1,171.2,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.915
12673,37,1,466.3,3,1,3,7,3-1-3,Occasional Browsers,1,1,0.6588
12675,214,1,613.95,1,1,4,6,1-1-4,Dormant Spenders,1,1,0.9483
12676,44,4,937.83,3,4,4,11,3-4-4,Loyal Mid-Tier,0,0,0.0059
12677,191,2,279.6,1,2,2,5,1-2-2,Disengaged Low-Value,1,1,0.9586
12678,11,6,527.32,5,5,3,13,5-5-3,Loyal Mid-Tier,0,0,0.0023
12681,3,23,10361.67,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0025
12682,1,22,7280.16,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0021
12683,1,8,2745.81,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0021
12686,7,1,71.14,5,1,1,7,5-1-1,Promising Newcomers,1,0,0.0138
12687,116,1,1681.97,2,1,5,8,2-1-5,Dormant Spenders,1,1,0.8516
12691,56,1,99.6,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0535
12692,273,1,103.0,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9617
12693,88,2,447.91,2,2,3,7,2-2-3,Fading Customers,1,1,0.7034
12694,57,1,506.43,3,1,3,7,3-1-3,Occasional Browsers,1,1,0.5564
12695,164,3,551.93,2,3,3,8,2-3-3,Fading Customers,1,1,0.8904
12696,70,2,716.01,3,2,4,9,3-2-4,Fading Customers,1,0,0.428
12698,226,1,173.45,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9387
12699,53,1,517.26,3,1,3,7,3-1-3,Occasional Browsers,1,1,0.7316
12701,165,4,1385.48,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.9311
12703,269,3,605.78,1,3,4,8,1-3-4,Dormant Spenders,1,1,0.9766
12705,19,5,3843.06,4,4,5,13,4-4-5,High-Value Regulars,0,0,0.0154
12708,4,9,2035.32,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0018
12709,2,12,1064.71,5,5,4,14,5-5-4,High-Value Regulars,0,0,0.0021
12711,247,2,949.05,1,2,4,7,1-2-4,Dormant Spenders,1,1,0.9645
12712,1,10,1842.2,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0021
12714,24,7,6073.34,4,5,5,14,4-5-5,High-Value Regulars,0,0,0.0033
12717,226,1,227.93,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9677
12720,5,5,1899.3,5,4,5,14,5-4-5,High-Value Regulars,0,0,0.0124
12721,21,2,1025.65,4,2,4,10,4-2-4,Promising Newcomers,0,0,0.0066
12724,19,3,946.8,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0055
12725,7,3,1349.62,5,3,5,13,5-3-5,Loyal Mid-Tier,0,0,0.0057
12726,23,4,660.36,4,4,4,12,4-4-4,High-Value Regulars,0,0,0.0052
12727,78,3,1031.43,2,3,4,9,2-3-4,Fading Customers,0,0,0.1663
12728,19,1,171.59,4,1,2,7,4-1-2,Promising Newcomers,1,0,0.0102
12730,157,1,583.4,2,1,4,7,2-1-4,Dormant Spenders,1,1,0.9307
12731,78,4,791.1,2,4,4,10,2-4-4,Dormant Spenders,0,0,0.4346
12733,25,3,1223.97,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0025
12734,10,2,191.55,5,2,2,9,5-2-2,Promising Newcomers,1,0,0.0173
12738,8,1,110.4,5,1,1,7,5-1-1,Promising Newcomers,1,0,0.0113
12739,30,1,593.79,4,1,4,9,4-1-4,Promising Newcomers,1,0,0.0249
12741,169,1,236.07,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9664
12742,261,1,995.0,1,1,4,6,1-1-4,Dormant Spenders,1,1,0.9115
12744,95,4,1573.83,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.9294
12745,122,2,256.53,2,2,2,6,2-2-2,Fading Customers,1,1,0.7303
12746,176,1,238.65,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9668
12747,5,16,1983.42,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0031
12748,1,121,11721.8,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0023
12749,35,4,1404.52,4,4,5,13,4-4-5,High-Value Regulars,0,0,0.0093
12751,80,1,268.27,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9427
12755,21,9,287.31,4,5,2,11,4-5-2,Occasional Browsers,0,0,0.0247
12758,95,5,2465.27,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.6097
12759,22,5,2878.34,4,4,5,13,4-4-5,High-Value Regulars,0,0,0.0022
12760,91,1,317.8,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.835
12761,100,1,475.8,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.7485
12763,5,1,260.08,5,1,2,8,5-1-2,Promising Newcomers,1,0,0.0072
12765,108,5,865.98,2,4,4,10,2-4-4,Dormant Spenders,0,1,0.9244
12766,2,3,1857.25,5,3,5,13,5-3-5,Loyal Mid-Tier,0,0,0.0095
12767,11,1,657.86,5,1,4,10,5-1-4,Promising Newcomers,1,0,0.0157
12768,86,1,150.45,2,1,1,4,2-1-1,Disengaged Low-Value,1,1,0.9037
12771,121,1,169.5,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9417
12773,200,1,29.3,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.954
12774,171,1,83.7,2,1,1,4,2-1-1,Disengaged Low-Value,1,1,0.9521
12775,24,2,184.72,4,2,2,8,4-2-2,Promising Newcomers,1,0,0.0225
12776,303,1,27.5,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9771
12777,93,1,370.2,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.8283
12778,32,3,716.92,4,3,4,11,4-3-4,Loyal Mid-Tier,0,0,0.0037
12779,7,7,1871.71,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0022
12780,234,1,202.68,1,1,2,4,1-1-2,Disengaged Low-Value,1,1,0.9636
12782,10,6,1691.82,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0079
12784,165,1,845.58,2,1,4,7,2-1-4,Dormant Spenders,1,1,0.9068
12785,171,2,461.65,2,2,3,7,2-2-3,Fading Customers,1,1,0.5916
12786,245,1,132.7,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.957
12787,49,1,380.52,3,1,3,7,3-1-3,Occasional Browsers,1,1,0.7161
12788,99,4,384.9,2,4,3,9,2-4-3,Occasional Browsers,1,1,0.9263
12790,46,1,158.33,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.0413
12791,236,3,302.23,1,3,2,6,1-3-2,Occasional Browsers,1,1,0.6445
12792,170,1,321.92,2,1,3,6,2-1-3,Occasional Browsers,1,1,0.8331
12793,7,2,356.05,5,2,3,10,5-2-3,Promising Newcomers,0,0,0.0071
12797,1,2,435.43,5,2,3,10,5-2-3,Promising Newcomers,0,0,0.0086
12798,57,1,43.49,3,1,1,5,3-1-1,Occasional Browsers,1,0,0.077
12799,165,1,202.4,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9621
12800,106,2,500.25,2,2,3,7,2-2-3,Fading Customers,1,1,0.6019
12801,136,1,699.35,2,1,4,7,2-1-4,Dormant Spenders,1,1,0.8618
12802,80,4,1549.62,2,4,5,11,2-4-5,Dormant Spenders,0,1,0.7466
12803,29,1,874.41,4,1,4,9,4-1-4,Promising Newcomers,1,0,0.0157
12804,101,2,287.57,2,2,2,6,2-2-2,Fading Customers,1,1,0.5046
12805,17,4,752.35,4,4,4,12,4-4-4,High-Value Regulars,0,0,0.0017
12806,208,2,636.96,1,2,4,7,1-2-4,Dormant Spenders,1,1,0.9486
12807,19,1,176.6,4,1,2,7,4-1-2,Promising Newcomers,1,0,0.0101
12808,4,3,377.45,5,3,3,11,5-3-3,Loyal Mid-Tier,0,0,0.0083
12809,201,2,688.43,1,2,4,7,1-2-4,Dormant Spenders,1,1,0.9786
12810,170,2,474.99,2,2,3,7,2-2-3,Fading Customers,1,1,0.646
12811,14,2,435.05,5,2,3,10,5-2-3,Promising Newcomers,1,0,0.0325
12813,137,3,547.8,2,3,3,8,2-3-3,Fading Customers,1,1,0.6979
12817,35,2,373.54,4,2,3,9,4-2-3,Promising Newcomers,1,0,0.0322
12819,94,1,275.88,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.9539
12820,33,7,1284.19,4,5,5,14,4-5-5,High-Value Regulars,0,0,0.0019
12821,247,1,128.08,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9627
12825,157,2,260.28,2,2,2,6,2-2-2,Fading Customers,1,1,0.7332
12826,1,5,996.98,5,4,4,13,5-4-4,High-Value Regulars,0,0,0.0064
12829,186,1,19.02,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9698
12831,99,2,190.4,2,2,2,6,2-2-2,Fading Customers,1,1,0.7866
12835,63,39,4265.83,3,5,5,13,3-5-5,Loyal Mid-Tier,0,0,0.0026
12836,25,11,1932.67,4,5,5,14,4-5-5,High-Value Regulars,0,0,0.0023
12837,205,1,362.66,1,1,3,5,1-1-3,Occasional Browsers,1,1,0.8566
12838,9,9,1902.91,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0087
12839,3,12,3510.7,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0018
12840,73,3,957.14,2,3,4,9,2-3-4,Fading Customers,0,0,0.2744
12841,5,17,2430.2,5,5,5,15,5-5-5,High-Value Regulars,0,0,0.0098
12842,40,2,172.6,3,2,2,7,3-2-2,Fading Customers,1,0,0.0269
12843,18,14,788.76,4,5,4,13,4-5-4,High-Value Regulars,0,0,0.0035
12844,78,2,232.06,2,2,2,6,2-2-2,Fading Customers,1,1,0.6352
12847,23,1,331.34,4,1,3,8,4-1-3,Promising Newcomers,1,0,0.0187
12848,311,1,154.3,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.942
12849,17,4,859.84,4,4,4,12,4-4-4,High-Value Regulars,0,0,0.0045
12851,113,1,110.7,2,1,1,4,2-1-1,Disengaged Low-Value,1,1,0.9792
12853,63,5,1217.8,3,4,4,11,3-4-4,Loyal Mid-Tier,0,0,0.0046
12854,197,4,1392.52,1,4,5,10,1-4-5,Dormant Spenders,0,1,0.928
12855,8,3,369.59,5,3,3,11,5-3-3,Loyal Mid-Tier,0,0,0.008
12857,72,4,1172.9,2,4,4,10,2-4-4,Dormant Spenders,0,0,0.1439
12858,19,1,87.57,4,1,1,6,4-1-1,Promising Newcomers,1,0,0.0102
12859,94,1,221.7,2,1,2,5,2-1-2,Disengaged Low-Value,1,1,0.95
12860,329,1,32.97,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9549
12861,255,1,39.6,1,1,1,3,1-1-1,Disengaged Low-Value,1,1,0.9555
12862,61,2,759.92,3,2,4,9,3-2-4,Fading Customers,1,1,0.5103
12863,15,5,477.05,5,4,3,12,5-4-3,Loyal Mid-Tier,0,0,0.0058
12864,144,1,0.95,2,1,1,4,2-1-1,Disengaged Low-Value,1,1,0.9635
12865,14,2,1430.48,5,2,5,12,5-2-5,Promising Newcomers,0,0,0.018
12866,110,2,496.33,2,2,3,7,2-2-3,Fading Customers,1,1,0.6266
