CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Combined_Score,RFM_Score_Label,Customer_Segment
12399,21,3,564.69,4,3,3,10,4-3-3,Loyal Mid-Tier
12400,50,1,205.25,3,1,2,6,3-1-2,Occasional Browsers
12402,28,5,928.55,4,4,4,12,4-4-4,High-Value Regulars
12406,35,3,609.92,4,3,4,11,4-3-4,Loyal Mid-Tier
12408,21,3,724.64,4,3,4,11,4-3-4,Loyal Mid-Tier
12409,56,2,439.5,3,2,3,8,3-2-3,Fading Customers
12410,138,1,183.78,2,1,2,5,2-1-2,Disengaged Low-Value
12411,45,1,255.4,3,1,2,6,3-1-2,Occasional Browsers
12412,38,3,624.29,3,3,4,10,3-3-4,Loyal Mid-Tier
12413,38,1,106.95,3,1,1,5,3-1-1,Occasional Browsers
12414,99,1,74.88,2,1,1,4,2-1-1,Disengaged Low-Value
12415,56,3,1177.49,3,3,4,10,3-3-4,Loyal Mid-Tier
12416,292,1,202.56,1,1,2,4,1-1-2,Disengaged Low-Value
12417,46,11,1783.54,3,5,5,13,3-5-5,Loyal Mid-Tier
12418,49,3,749.25,3,3,4,10,3-3-4,Loyal Mid-Tier
12419,21,2,274.31,4,2,2,8,4-2-2,Promising Newcomers
12421,51,2,202.71,3,2,2,7,3-2-2,Fading Customers
12422,30,9,1749.34,4,5,5,14,4-5-5,High-Value Regulars
12423,23,2,604.08,4,2,4,10,4-2-4,Promising Newcomers
12424,58,2,946.33,3,2,4,9,3-2-4,Fading Customers
12425,84,1,815.29,2,1,4,7,2-1-4,Dormant Spenders
12426,298,1,658.68,1,1,4,6,1-1-4,Dormant Spenders
12427,7,1,120.3,5,1,1,7,5-1-1,Promising Newcomers
12429,1,5,813.13,5,4,4,13,5-4-4,High-Value Regulars
12431,9,9,2335.81,5,5,5,15,5-5-5,High-Value Regulars
12433,2,5,3480.13,5,4,5,14,5-4-5,High-Value Regulars
12434,17,1,239.64,4,1,2,7,4-1-2,Promising Newcomers
12435,32,3,322.18,4,3,3,10,4-3-3,Loyal Mid-Tier
12437,31,19,4959.46,4,5,5,14,4-5-5,High-Value Regulars
12439,318,2,1048.28,1,2,4,7,1-2-4,Dormant Spenders
12440,98,2,395.35,2,2,3,7,2-2-3,Fading Customers
12441,2,1,155.55,5,1,1,7,5-1-1,Promising Newcomers
12443,368,1,192.63,1,1,2,4,1-1-2,Disengaged Low-Value
12445,56,1,301.58,3,1,2,6,3-1-2,Occasional Browsers
12450,35,3,447.82,4,3,3,10,4-3-3,Loyal Mid-Tier
12451,99,3,2169.99,2,3,5,10,2-3-5,Fading Customers
12455,81,4,1928.59,2,4,5,11,2-4-5,Dormant Spenders
12457,71,1,257.0,3,1,2,6,3-1-2,Occasional Browsers
12458,63,2,669.34,3,2,4,9,3-2-4,Fading Customers
12459,241,1,343.35,1,1,3,5,1-1-3,Occasional Browsers
12460,92,1,236.95,2,1,2,5,2-1-2,Disengaged Low-Value
12467,59,1,132.8,3,1,1,5,3-1-1,Occasional Browsers
12468,162,3,1348.56,2,3,5,10,2-3-5,Fading Customers
12469,158,1,1005.4,2,1,4,7,2-1-4,Dormant Spenders
12470,325,1,183.25,1,1,2,4,1-1-2,Disengaged Low-Value
12471,10,42,9266.5,5,5,5,15,5-5-5,High-Value Regulars
12472,5,13,7878.76,5,5,5,15,5-5-5,High-Value Regulars
12474,14,11,3675.19,5,5,5,15,5-5-5,High-Value Regulars
12475,45,1,359.36,3,1,3,7,3-1-3,Occasional Browsers
12476,33,6,3911.39,4,5,5,14,4-5-5,High-Value Regulars
12477,35,3,3394.24,4,3,5,12,4-3-5,Loyal Mid-Tier
12480,35,3,1203.57,4,3,4,11,4-3-4,Loyal Mid-Tier
12481,1,5,1982.54,5,4,5,14,5-4-5,High-Value Regulars
12482,289,4,120.0,1,4,1,6,1-4-1,Occasional Browsers
12483,14,8,742.4,5,5,4,14,5-5-4,High-Value Regulars
12484,119,5,1210.56,2,4,4,10,2-4-4,Dormant Spenders
12485,165,1,483.0,2,1,3,6,2-1-3,Occasional Browsers
12486,67,1,765.0,3,1,4,8,3-1-4,Big Spender Infrequent
12490,14,10,3082.43,5,5,5,15,5-5-5,High-Value Regulars
12492,39,1,316.15,3,1,3,7,3-1-3,Occasional Browsers
12494,1,3,450.1,5,3,3,11,5-3-3,Loyal Mid-Tier
12495,276,1,243.4,1,1,2,4,1-1-2,Disengaged Low-Value
12496,256,2,45.34,1,2,1,4,1-2-1,Disengaged Low-Value
12499,196,1,297.16,1,1,2,4,1-1-2,Disengaged Low-Value
12500,71,7,687.74,3,5,4,12,3-5-4,Loyal Mid-Tier
12504,53,2,129.0,3,2,1,6,3-2-1,Fading Customers
12505,44,1,583.8,3,1,4,8,3-1-4,Big Spender Infrequent
12507,220,1,362.25,1,1,3,5,1-1-3,Occasional Browsers
12510,95,5,1382.8,2,4,5,11,2-4-5,Dormant Spenders
12511,64,1,2457.11,3,1,5,9,3-1-5,Big Spender Infrequent
12514,277,1,478.2,1,1,3,5,1-1-3,Occasional Browsers
12516,66,2,450.9,3,2,3,8,3-2-3,Fading Customers
12519,112,1,319.88,2,1,3,6,2-1-3,Occasional Browsers
12523,10,12,1851.04,5,5,5,15,5-5-5,High-Value Regulars
12524,45,3,614.05,3,3,4,10,3-3-4,Loyal Mid-Tier
12525,134,3,798.18,2,3,4,9,2-3-4,Fading Customers
12527,165,1,164.8,2,1,2,5,2-1-2,Disengaged Low-Value
12529,164,1,280.68,2,1,2,5,2-1-2,Disengaged Low-Value
12530,51,5,1059.97,3,4,4,11,3-4-4,Loyal Mid-Tier
12531,322,1,1515.53,1,1,5,7,1-1-5,Dormant Spenders
12533,263,2,1016.74,1,2,4,7,1-2-4,Dormant Spenders
12537,44,1,602.99,3,1,4,8,3-1-4,Big Spender Infrequent
12538,14,1,150.3,5,1,1,7,5-1-1,Promising Newcomers
12539,86,3,3532.0,2,3,5,10,2-3-5,Fading Customers
12540,14,14,4023.73,5,5,5,15,5-5-5,High-Value Regulars
12542,120,2,359.61,2,2,3,7,2-2-3,Fading Customers
12543,84,1,656.8,2,1,4,7,2-1-4,Dormant Spenders
12547,136,1,147.78,2,1,1,4,2-1-1,Disengaged Low-Value
12549,211,5,894.32,1,4,4,9,1-4-4,Dormant Spenders
12553,21,2,585.37,4,2,4,10,4-2-4,Promising Newcomers
12554,84,1,347.6,2,1,3,6,2-1-3,Occasional Browsers
12562,21,2,600.9,4,2,4,10,4-2-4,Promising Newcomers
12563,44,1,131.24,3,1,1,5,3-1-1,Occasional Browsers
12567,3,7,2706.69,5,5,5,15,5-5-5,High-Value Regulars
12568,280,1,30.7,1,1,1,3,1-1-1,Disengaged Low-Value
12573,17,4,472.96,4,4,3,11,4-4-3,Loyal Mid-Tier
12575,93,2,508.47,2,2,3,7,2-2-3,Fading Customers
12576,28,3,721.82,4,3,4,11,4-3-4,Loyal Mid-Tier
12577,17,5,884.76,4,4,4,12,4-4-4,High-Value Regulars
12578,21,2,861.34,4,2,4,10,4-2-4,Promising Newcomers
12580,212,1,576.9,1,1,3,5,1-1-3,Occasional Browsers
12582,58,2,994.37,3,2,4,9,3-2-4,Fading Customers
12583,9,12,2298.84,5,5,5,15,5-5-5,High-Value Regulars
12586,10,3,1161.88,5,3,4,12,5-3-4,Loyal Mid-Tier
12588,35,2,400.08,4,2,3,9,4-2-3,Promising Newcomers
12589,57,4,1969.33,3,4,5,12,3-4-5,Loyal Mid-Tier
12591,26,2,503.6,4,2,3,9,4-2-3,Promising Newcomers
12592,155,2,510.84,2,2,3,7,2-2-3,Fading Customers
12594,14,5,1299.09,5,4,5,14,5-4-5,High-Value Regulars
12595,140,1,197.4,2,1,2,5,2-1-2,Disengaged Low-Value
12598,99,3,1024.26,2,3,4,9,2-3-4,Fading Customers
12599,17,6,819.18,4,5,4,13,4-5-4,High-Value Regulars
12600,28,10,478.58,4,5,3,12,4-5-3,Loyal Mid-Tier
12601,40,1,60.3,3,1,1,5,3-1-1,Occasional Browsers
12605,12,3,1077.4,5,3,4,12,5-3-4,Loyal Mid-Tier
12608,40,1,95.05,3,1,1,5,3-1-1,Occasional Browsers
12609,10,6,1610.76,5,5,5,15,5-5-5,High-Value Regulars
12613,24,5,2374.14,4,4,5,13,4-4-5,High-Value Regulars
12615,49,4,2458.02,3,4,5,12,3-4-5,Loyal Mid-Tier
12616,24,1,326.1,4,1,3,8,4-1-3,Promising Newcomers
12619,196,1,127.39,1,1,1,3,1-1-1,Disengaged Low-Value
12621,1,16,3619.88,5,5,5,15,5-5-5,High-Value Regulars
12623,52,6,2247.72,3,5,5,13,3-5-5,Loyal Mid-Tier
12625,145,2,1577.77,2,2,5,9,2-2-5,Fading Customers
12629,21,2,492.92,4,2,3,9,4-2-3,Promising Newcomers
12631,92,5,2337.07,2,4,5,11,2-4-5,Dormant Spenders
12632,156,2,321.76,2,2,3,7,2-2-3,Fading Customers
12633,18,3,2779.93,4,3,5,12,4-3-5,Loyal Mid-Tier
12634,184,1,360.0,1,1,3,5,1-1-3,Occasional Browsers
12635,28,2,1003.23,4,2,4,10,4-2-4,Promising Newcomers
12637,14,4,1938.45,5,4,5,14,5-4-5,High-Value Regulars
12638,275,1,93.3,1,1,1,3,1-1-1,Disengaged Low-Value
12639,70,2,599.17,3,2,4,9,3-2-4,Fading Customers
12644,66,3,1064.03,3,3,4,10,3-3-4,Loyal Mid-Tier
12645,45,4,1207.77,3,4,4,11,3-4-4,Loyal Mid-Tier
12647,3,21,5239.9,5,5,5,15,5-5-5,High-Value Regulars
12648,73,3,579.85,2,3,3,8,2-3-3,Fading Customers
12649,18,4,965.54,4,4,4,12,4-4-4,High-Value Regulars
12651,14,3,263.75,5,3,2,10,5-3-2,Occasional Browsers
12652,70,1,14.85,3,1,1,5,3-1-1,Occasional Browsers
12653,162,1,490.32,2,1,3,6,2-1-3,Occasional Browsers
12655,59,1,181.7,3,1,2,6,3-1-2,Occasional Browsers
12656,61,3,1662.31,3,3,5,11,3-3-5,Loyal Mid-Tier
12661,72,1,162.0,2,1,2,5,2-1-2,Disengaged Low-Value
12662,9,10,2458.49,5,5,5,15,5-5-5,High-Value Regulars
12663,260,2,106.2,1,2,1,4,1-2-1,Disengaged Low-Value
12665,53,2,214.6,3,2,2,7,3-2-2,Fading Customers
12666,30,1,441.68,4,1,3,8,4-1-3,Promising Newcomers
12668,14,5,5408.12,5,4,5,14,5-4-5,High-Value Regulars
12670,21,2,347.04,4,2,3,9,4-2-3,Promising Newcomers
12671,242,1,243.0,1,1,2,4,1-1-2,Disengaged Low-Value
12672,231,1,171.2,1,1,2,4,1-1-2,Disengaged Low-Value
12673,37,1,466.3,3,1,3,7,3-1-3,Occasional Browsers
12675,214,1,613.95,1,1,4,6,1-1-4,Dormant Spenders
12676,44,4,937.83,3,4,4,11,3-4-4,Loyal Mid-Tier
12677,191,2,279.6,1,2,2,5,1-2-2,Disengaged Low-Value
12678,11,6,527.32,5,5,3,13,5-5-3,Loyal Mid-Tier
12681,3,23,10361.67,5,5,5,15,5-5-5,High-Value Regulars
12682,1,22,7280.16,5,5,5,15,5-5-5,High-Value Regulars
12683,1,8,2745.81,5,5,5,15,5-5-5,High-Value Regulars
12686,7,1,71.14,5,1,1,7,5-1-1,Promising Newcomers
12687,116,1,1681.97,2,1,5,8,2-1-5,Dormant Spenders
12691,56,1,99.6,3,1,1,5,3-1-1,Occasional Browsers
12692,273,1,103.0,1,1,1,3,1-1-1,Disengaged Low-Value
12693,88,2,447.91,2,2,3,7,2-2-3,Fading Customers
12694,57,1,506.43,3,1,3,7,3-1-3,Occasional Browsers
12695,164,3,551.93,2,3,3,8,2-3-3,Fading Customers
12696,70,2,716.01,3,2,4,9,3-2-4,Fading Customers
12698,226,1,173.45,1,1,2,4,1-1-2,Disengaged Low-Value
12699,53,1,517.26,3,1,3,7,3-1-3,Occasional Browsers
12701,165,4,1385.48,2,4,5,11,2-4-5,Dormant Spenders
12703,269,3,605.78,1,3,4,8,1-3-4,Dormant Spenders
12705,19,5,3843.06,4,4,5,13,4-4-5,High-Value Regulars
12708,4,9,2035.32,5,5,5,15,5-5-5,High-Value Regulars
12709,2,12,1064.71,5,5,4,14,5-5-4,High-Value Regulars
12711,247,2,949.05,1,2,4,7,1-2-4,Dormant Spenders
12712,1,10,1842.2,5,5,5,15,5-5-5,High-Value Regulars
12714,24,7,6073.34,4,5,5,14,4-5-5,High-Value Regulars
12717,226,1,227.93,1,1,2,4,1-1-2,Disengaged Low-Value
12720,5,5,1899.3,5,4,5,14,5-4-5,High-Value Regulars
12721,21,2,1025.65,4,2,4,10,4-2-4,Promising Newcomers
12724,19,3,946.8,4,3,4,11,4-3-4,Loyal Mid-Tier
12725,7,3,1349.62,5,3,5,13,5-3-5,Loyal Mid-Tier
12726,23,4,660.36,4,4,4,12,4-4-4,High-Value Regulars
12727,78,3,1031.43,2,3,4,9,2-3-4,Fading Customers
12728,19,1,171.59,4,1,2,7,4-1-2,Promising Newcomers
12730,157,1,583.4,2,1,4,7,2-1-4,Dormant Spenders
12731,78,4,791.1,2,4,4,10,2-4-4,Dormant Spenders
12733,25,3,1223.97,4,3,4,11,4-3-4,Loyal Mid-Tier
12734,10,2,191.55,5,2,2,9,5-2-2,Promising Newcomers
12738,8,1,110.4,5,1,1,7,5-1-1,Promising Newcomers
12739,30,1,593.79,4,1,4,9,4-1-4,Promising Newcomers
12741,169,1,236.07,2,1,2,5,2-1-2,Disengaged Low-Value
12742,261,1,995.0,1,1,4,6,1-1-4,Dormant Spenders
12744,95,4,1573.83,2,4,5,11,2-4-5,Dormant Spenders
12745,122,2,256.53,2,2,2,6,2-2-2,Fading Customers
12746,176,1,238.65,2,1,2,5,2-1-2,Disengaged Low-Value
12747,5,16,1983.42,5,5,5,15,5-5-5,High-Value Regulars
12748,1,121,11721.8,5,5,5,15,5-5-5,High-Value Regulars
12749,35,4,1404.52,4,4,5,13,4-4-5,High-Value Regulars
12751,80,1,268.27,2,1,2,5,2-1-2,Disengaged Low-Value
12755,21,9,287.31,4,5,2,11,4-5-2,Occasional Browsers
12758,95,5,2465.27,2,4,5,11,2-4-5,Dormant Spenders
12759,22,5,2878.34,4,4,5,13,4-4-5,High-Value Regulars
12760,91,1,317.8,2,1,3,6,2-1-3,Occasional Browsers
12761,100,1,475.8,2,1,3,6,2-1-3,Occasional Browsers
12763,5,1,260.08,5,1,2,8,5-1-2,Promising Newcomers
12765,108,5,865.98,2,4,4,10,2-4-4,Dormant Spenders
12766,2,3,1857.25,5,3,5,13,5-3-5,Loyal Mid-Tier
12767,11,1,657.86,5,1,4,10,5-1-4,Promising Newcomers
12768,86,1,150.45,2,1,1,4,2-1-1,Disengaged Low-Value
12771,121,1,169.5,2,1,2,5,2-1-2,Disengaged Low-Value
12773,200,1,29.3,1,1,1,3,1-1-1,Disengaged Low-Value
12774,171,1,83.7,2,1,1,4,2-1-1,Disengaged Low-Value
12775,24,2,184.72,4,2,2,8,4-2-2,Promising Newcomers
12776,303,1,27.5,1,1,1,3,1-1-1,Disengaged Low-Value
12777,93,1,370.2,2,1,3,6,2-1-3,Occasional Browsers
12778,32,3,716.92,4,3,4,11,4-3-4,Loyal Mid-Tier
12779,7,7,1871.71,5,5,5,15,5-5-5,High-Value Regulars
12780,234,1,202.68,1,1,2,4,1-1-2,Disengaged Low-Value
12782,10,6,1691.82,5,5,5,15,5-5-5,High-Value Regulars
12784,165,1,845.58,2,1,4,7,2-1-4,Dormant Spenders
12785,171,2,461.65,2,2,3,7,2-2-3,Fading Customers
12786,245,1,132.7,1,1,1,3,1-1-1,Disengaged Low-Value
12787,49,1,380.52,3,1,3,7,3-1-3,Occasional Browsers
12788,99,4,384.9,2,4,3,9,2-4-3,Occasional Browsers
12790,46,1,158.33,3,1,1,5,3-1-1,Occasional Browsers
12791,236,3,302.23,1,3,2,6,1-3-2,Occasional Browsers
12792,170,1,321.92,2,1,3,6,2-1-3,Occasional Browsers
12793,7,2,356.05,5,2,3,10,5-2-3,Promising Newcomers
12797,1,2,435.43,5,2,3,10,5-2-3,Promising Newcomers
12798,57,1,43.49,3,1,1,5,3-1-1,Occasional Browsers
12799,165,1,202.4,2,1,2,5,2-1-2,Disengaged Low-Value
12800,106,2,500.25,2,2,3,7,2-2-3,Fading Customers
12801,136,1,699.35,2,1,4,7,2-1-4,Dormant Spenders
12802,80,4,1549.62,2,4,5,11,2-4-5,Dormant Spenders
12803,29,1,874.41,4,1,4,9,4-1-4,Promising Newcomers
12804,101,2,287.57,2,2,2,6,2-2-2,Fading Customers
12805,17,4,752.35,4,4,4,12,4-4-4,High-Value Regulars
12806,208,2,636.96,1,2,4,7,1-2-4,Dormant Spenders
12807,19,1,176.6,4,1,2,7,4-1-2,Promising Newcomers
12808,4,3,377.45,5,3,3,11,5-3-3,Loyal Mid-Tier
12809,201,2,688.43,1,2,4,7,1-2-4,Dormant Spenders
12810,170,2,474.99,2,2,3,7,2-2-3,Fading Customers
12811,14,2,435.05,5,2,3,10,5-2-3,Promising Newcomers
12813,137,3,547.8,2,3,3,8,2-3-3,Fading Customers
12817,35,2,373.54,4,2,3,9,4-2-3,Promising Newcomers
12819,94,1,275.88,2,1,2,5,2-1-2,Disengaged Low-Value
12820,33,7,1284.19,4,5,5,14,4-5-5,High-Value Regulars
12821,247,1,128.08,1,1,1,3,1-1-1,Disengaged Low-Value
12825,157,2,260.28,2,2,2,6,2-2-2,Fading Customers
12826,1,5,996.98,5,4,4,13,5-4-4,High-Value Regulars
12829,186,1,19.02,1,1,1,3,1-1-1,Disengaged Low-Value
12831,99,2,190.4,2,2,2,6,2-2-2,Fading Customers
12835,63,39,4265.83,3,5,5,13,3-5-5,Loyal Mid-Tier
12836,25,11,1932.67,4,5,5,14,4-5-5,High-Value Regulars
12837,205,1,362.66,1,1,3,5,1-1-3,Occasional Browsers
12838,9,9,1902.91,5,5,5,15,5-5-5,High-Value Regulars
12839,3,12,3510.7,5,5,5,15,5-5-5,High-Value Regulars
12840,73,3,957.14,2,3,4,9,2-3-4,Fading Customers
12841,5,17,2430.2,5,5,5,15,5-5-5,High-Value Regulars
12842,40,2,172.6,3,2,2,7,3-2-2,Fading Customers
12843,18,14,788.76,4,5,4,13,4-5-4,High-Value Regulars
12844,78,2,232.06,2,2,2,6,2-2-2,Fading Customers
12847,23,1,331.34,4,1,3,8,4-1-3,Promising Newcomers
12848,311,1,154.3,1,1,1,3,1-1-1,Disengaged Low-Value
12849,17,4,859.84,4,4,4,12,4-4-4,High-Value Regulars
12851,113,1,110.7,2,1,1,4,2-1-1,Disengaged Low-Value
12853,63,5,1217.8,3,4,4,11,3-4-4,Loyal Mid-Tier
12854,197,4,1392.52,1,4,5,10,1-4-5,Dormant Spenders
12855,8,3,369.59,5,3,3,11,5-3-3,Loyal Mid-Tier
12857,72,4,1172.9,2,4,4,10,2-4-4,Dormant Spenders
12858,19,1,87.57,4,1,1,6,4-1-1,Promising Newcomers
12859,94,1,221.7,2,1,2,5,2-1-2,Disengaged Low-Value
12860,329,1,32.97,1,1,1,3,1-1-1,Disengaged Low-Value
12861,255,1,39.6,1,1,1,3,1-1-1,Disengaged Low-Value
12862,61,2,759.92,3,2,4,9,3-2-4,Fading Customers
12863,15,5,477.05,5,4,3,12,5-4-3,Loyal Mid-Tier
12864,144,1,0.95,2,1,1,4,2-1-1,Disengaged Low-Value
12865,14,2,1430.48,5,2,5,12,5-2-5,Promising Newcomers
12866,110,2,496.33,2,2,3,7,2-2-3,Fading Customers
12867,33,6,3596.06,4,5,5,14,4-5-5,High-Value Regulars
12868,9,3,624.1,5,3,4,12,5-3-4,Loyal Mid-Tier
12869,317,1,230.57,1,1,2,4,1-1-2,Disengaged Low-Value
12870,11,3,1210.14,5,3,4,12,5-3-4,Loyal Mid-Tier
12872,1,11,2392.47,5,5,5,15,5-5-5,High-Value Regulars
12873,33,2,373.9,4,2,3,9,4-2-3,Promising Newcomers
12874,21,2,573.5,4,2,3,9,4-2-3,Promising Newcomers
12876,30,2,1039.46,4,2,4,10,4-2-4,Promising Newcomers
12877,37,8,1223.19,3,5,4,12,3-5-4,Loyal Mid-Tier
12880,17,2,502.43,4,2,3,9,4-2-3,Promising Newcomers
12887,19,1,194.7,4,1,2,7,4-1-2,Promising Newcomers
12889,17,4,276.06,4,4,2,10,4-4-2,Occasional Browsers
12890,23,1,281.75,4,1,2,7,4-1-2,Promising Newcomers
12892,32,1,237.53,4,1,2,7,4-1-2,Promising Newcomers
12894,211,1,103.95,1,1,1,3,1-1-1,Disengaged Low-Value
12897,17,2,90.15,4,2,1,7,4-2-1,Promising Newcomers
12898,295,1,109.57,1,1,1,3,1-1-1,Disengaged Low-Value
12899,49,1,209.85,3,1,2,6,3-1-2,Occasional Browsers
12900,58,1,208.68,3,1,2,6,3-1-2,Occasional Browsers
12903,64,1,739.05,3,1,4,8,3-1-4,Big Spender Infrequent
12905,212,2,738.14,1,2,4,7,1-2-4,Dormant Spenders
12907,31,2,337.71,4,2,3,9,4-2-3,Promising Newcomers
12909,60,3,783.26,3,3,4,10,3-3-4,Loyal Mid-Tier
12910,15,5,337.6,5,4,3,12,5-4-3,Loyal Mid-Tier
12911,187,1,1131.69,1,1,4,6,1-1-4,Dormant Spenders
12913,4,6,424.44,5,5,3,13,5-5-3,Loyal Mid-Tier
12914,36,1,81.06,4,1,1,6,4-1-1,Promising Newcomers
12915,8,3,536.65,5,3,3,11,5-3-3,Loyal Mid-Tier
12916,78,3,763.55,2,3,4,9,2-3-4,Fading Customers
12917,36,4,405.6,4,4,3,11,4-4-3,Loyal Mid-Tier
12920,207,2,258.66,1,2,2,5,1-2-2,Disengaged Low-Value
12921,2,38,11415.75,5,5,5,15,5-5-5,High-Value Regulars
12923,26,2,181.05,4,2,2,8,4-2-2,Promising Newcomers
12924,29,8,427.02,4,5,3,12,4-5-3,Loyal Mid-Tier
12925,228,1,25.2,1,1,1,3,1-1-1,Disengaged Low-Value
12926,47,4,1439.72,3,4,5,12,3-4-5,Loyal Mid-Tier
12927,30,1,180.36,4,1,2,7,4-1-2,Promising Newcomers
12928,14,7,1465.61,5,5,5,15,5-5-5,High-Value Regulars
12931,185,2,42.68,1,2,1,4,1-2-1,Disengaged Low-Value
12932,175,8,1192.78,2,5,4,11,2-5-4,Dormant Spenders
12933,16,5,818.4,4,4,4,12,4-4-4,High-Value Regulars
12935,11,8,1760.71,5,5,5,15,5-5-5,High-Value Regulars
12937,99,5,1087.02,2,4,4,10,2-4-4,Dormant Spenders
12941,360,1,257.97,1,1,2,4,1-1-2,Disengaged Low-Value
12942,1,1,174.85,5,1,2,8,5-1-2,Promising Newcomers
12943,194,2,224.5,1,2,2,5,1-2-2,Disengaged Low-Value
12945,292,1,420.16,1,1,3,5,1-1-3,Occasional Browsers
12946,72,1,293.8,2,1,2,5,2-1-2,Disengaged Low-Value
12947,9,1,264.24,5,1,2,8,5-1-2,Promising Newcomers
12948,366,2,117.0,1,2,1,4,1-2-1,Disengaged Low-Value
12949,18,14,7748.65,4,5,5,14,4-5-5,High-Value Regulars
12951,22,9,1987.95,4,5,5,14,4-5-5,High-Value Regulars
12953,158,1,383.76,2,1,3,6,2-1-3,Occasional Browsers
12954,274,1,136.95,1,1,1,3,1-1-1,Disengaged Low-Value
12956,320,3,399.9,1,3,3,7,1-3-3,Occasional Browsers
12957,177,5,3754.55,2,4,5,11,2-4-5,Dormant Spenders
12958,36,2,299.24,4,2,2,8,4-2-2,Promising Newcomers
12959,120,1,63.6,2,1,1,4,2-1-1,Disengaged Low-Value
12960,49,4,1000.27,3,4,4,11,3-4-4,Loyal Mid-Tier
12961,15,1,198.07,5,1,2,8,5-1-2,Promising Newcomers
12963,1,5,1499.47,5,4,5,14,5-4-5,High-Value Regulars
12964,73,1,92.49,2,1,1,4,2-1-1,Disengaged Low-Value
12967,7,2,649.02,5,2,4,11,5-2-4,Promising Newcomers
12969,238,1,46.2,1,1,1,3,1-1-1,Disengaged Low-Value
12970,16,6,826.73,4,5,4,13,4-5-4,High-Value Regulars
12971,2,27,1562.61,5,5,5,15,5-5-5,High-Value Regulars
12972,49,4,761.82,3,4,4,11,3-4-4,Loyal Mid-Tier
12973,49,1,70.05,3,1,1,5,3-1-1,Occasional Browsers
12974,201,1,238.65,1,1,2,4,1-1-2,Disengaged Low-Value
12975,72,6,1496.07,2,5,5,12,2-5-5,Dormant Spenders
12976,14,7,1796.54,5,5,5,15,5-5-5,High-Value Regulars
12977,137,2,192.54,2,2,2,6,2-2-2,Fading Customers
12978,21,5,1813.22,4,4,5,13,4-4-5,High-Value Regulars
12979,365,1,320.91,1,1,3,5,1-1-3,Occasional Browsers
12982,30,6,1919.49,4,5,5,14,4-5-5,High-Value Regulars
12983,234,1,314.88,1,1,3,5,1-1-3,Occasional Browsers
12986,64,9,1399.17,3,5,5,13,3-5-5,Loyal Mid-Tier
12987,56,3,530.46,3,3,3,9,3-3-3,Loyal Mid-Tier
12989,246,1,30.0,1,1,1,3,1-1-1,Disengaged Low-Value
12990,86,3,97.5,2,3,1,6,2-3-1,Fading Customers
12991,25,1,133.96,4,1,1,6,4-1-1,Promising Newcomers
